, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,1.18,1.61,1.29,0.0,0.0,0.07,0.0,0.0,0.0,0.44,0.17,0.95,0.0,0.37,0.0,0.1,0.0
1,0,0.031,0.98,1,1.19,1.49,1.5,0.0,0.0,0.02,0.0,0.17,0.0,0.3,0.12,0.82,0.0,0.14,0.0,0.33,0.13
2,0,0.062,0.98,1,1.01,1.28,1.64,0.0,0.0,0.11,0.0,0.43,0.0,0.16,0.07,0.74,0.0,0.01,0.0,0.29,0.13
3,0,0.09300000000000001,0.98,1,0.83,1.07,1.75,0.0,0.0,0.19,0.0,0.64,0.0,0.03,0.06,0.78,0.0,0.01,0.0,0.19,0.0
4,0,0.124,0.98,1,0.56,0.65,1.78,0.0,0.06,0.23,0.0,0.74,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0
5,0,0.155,0.98,1,0.34,0.32,1.86,0.0,0.11,0.32,0.0,0.83,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.26,0.0
6,0,0.187,0.93,1,0.31,0.0,1.85,0.04,0.32,1.02,0.0,0.98,0.0,0.18,0.0,0.31,0.03,0.0,0.28,0.93,0.32
7,0,0.218,0.98,1,0.39,0.0,1.74,0.15,0.52,1.45,0.0,1.0,0.0,0.28,0.0,0.21,0.03,0.0,0.58,1.59,0.47
8,0,0.249,0.98,1,0.57,0.0,1.59,0.35,0.73,1.76,0.0,0.87,0.0,0.37,0.0,0.03,0.03,0.0,0.89,2.03,0.59
9,0,0.28,0.98,1,0.5,0.0,1.49,0.53,0.74,1.53,0.0,0.71,0.0,0.23,0.0,0.03,0.07,0.0,0.96,2.02,0.41
10,0,0.311,0.98,1,0.41,0.0,1.51,0.51,0.59,1.75,0.11,0.78,0.0,0.13,0.0,0.0,0.33,0.0,0.93,1.77,0.47
11,0,0.342,0.93,1,0.23,0.0,1.52,0.31,0.45,1.62,0.21,0.91,0.0,0.04,0.17,0.05,0.59,0.0,0.9,1.06,0.36
12,0,0.373,0.98,1,0.1,0.0,1.89,0.08,0.44,1.52,0.43,1.03,0.0,0.0,0.45,0.2,0.55,0.0,0.74,0.42,0.35
