, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.1,0.08,0.31,0.0,0.63,0.0
1,0,0.07,0.98,1,0.16,0.02,0.02,0.05,0.0,0.23,0.0,1.12,0.0,0.0,0.04,0.04,0.14,0.24,0.0,0.39,0.32
2,0,0.14,0.93,1,0.23,0.02,0.03,0.02,0.0,0.29,0.0,1.44,0.0,0.0,0.14,0.04,0.12,0.14,0.0,0.18,0.75
3,0,0.21,0.93,1,0.23,0.02,0.01,0.02,0.0,0.08,0.0,1.43,0.0,0.0,0.09,0.15,0.1,0.0,0.0,0.0,1.09
4,0,0.28,0.93,1,0.17,0.02,0.02,0.12,0.0,0.06,0.0,1.35,0.0,0.0,0.09,0.4,0.03,0.0,0.0,0.01,1.21
5,0,0.35,0.93,1,0.23,0.09,0.01,0.26,0.0,0.05,0.0,1.27,0.0,0.0,0.0,0.74,0.1,0.0,0.01,0.01,1.18
6,0,0.42,0.93,1,0.4,0.21,0.11,0.27,0.0,0.05,0.0,1.37,0.0,0.0,0.0,1.0,0.11,0.0,0.09,0.01,1.13
7,0,0.49,0.93,1,0.3,0.19,0.24,0.17,0.0,0.05,0.02,1.18,0.0,0.08,0.0,1.08,0.14,0.0,0.29,0.0,0.85
8,0,0.56,0.98,1,0.28,0.16,0.41,0.01,0.0,0.06,0.06,0.93,0.0,0.1,0.14,1.1,0.07,0.0,0.47,0.11,0.46
9,0,0.63,0.98,1,0.14,0.03,0.51,0.0,0.0,0.27,0.06,0.56,0.0,0.23,0.24,1.09,0.05,0.0,0.56,0.17,0.16
10,0,0.7,0.98,1,0.14,0.05,0.53,0.0,0.0,0.43,0.05,0.51,0.0,0.14,0.3,1.11,0.12,0.0,0.42,0.17,0.07
11,0,0.77,0.98,1,0.04,0.01,0.54,0.0,0.0,0.51,0.01,0.53,0.0,0.15,0.2,0.98,0.12,0.0,0.23,0.07,0.07
12,0,0.84,0.98,1,0.02,0.01,0.49,0.0,0.0,0.46,0.0,0.63,0.0,0.03,0.11,0.87,0.12,0.0,0.2,0.0,0.07
13,0,0.91,0.98,1,0.02,0.0,0.54,0.0,0.0,0.62,0.03,0.81,0.0,0.03,0.32,0.6,0.0,0.0,0.15,0.0,0.08
14,0,0.98,0.98,1,0.03,0.0,0.58,0.0,0.0,0.76,0.07,0.85,0.0,0.0,0.55,0.36,0.0,0.0,0.36,0.35,0.08
15,0,1.05,0.98,1,0.01,0.0,0.54,0.0,0.0,0.83,0.17,0.94,0.0,0.0,0.82,0.27,0.0,0.0,0.21,0.55,0.17
16,0,1.12,0.98,1,0.01,0.0,0.52,0.0,0.0,0.77,0.15,0.99,0.0,0.0,0.72,0.45,0.0,0.0,0.3,0.79,0.09
17,0,1.19,0.98,1,0.0,0.0,0.51,0.0,0.0,0.7,0.11,1.14,0.0,0.05,0.56,0.65,0.0,0.0,0.29,0.64,0.09
18,0,1.26,0.98,1,0.05,0.0,0.65,0.0,0.0,0.53,0.01,1.06,0.0,0.16,0.31,0.67,0.0,0.0,0.64,0.53,0.0
19,0,1.33,0.98,1,0.05,0.0,0.73,0.0,0.0,0.27,0.0,1.06,0.0,0.24,0.15,0.57,0.0,0.0,0.94,0.38,0.0
20,0,1.4,0.98,1,0.05,0.0,0.74,0.0,0.06,0.05,0.0,1.04,0.03,0.57,0.03,0.48,0.0,0.0,1.2,0.47,0.0
21,0,1.47,0.98,1,0.0,0.0,0.67,0.0,0.1,0.0,0.0,1.15,0.11,0.77,0.0,0.3,0.0,0.0,1.32,0.73,0.0
22,0,1.54,0.98,1,0.0,0.0,0.56,0.0,0.18,0.01,0.0,0.98,0.27,0.99,0.0,0.14,0.0,0.08,1.41,1.07,0.0
23,0,1.61,0.98,1,0.0,0.0,0.5,0.0,0.2,0.01,0.0,0.88,0.47,1.02,0.0,0.0,0.0,0.25,1.5,1.32,0.0
24,0,1.68,0.98,1,0.0,0.0,0.53,0.0,0.26,0.03,0.0,0.93,0.6,1.03,0.0,0.02,0.0,0.39,1.51,1.31,0.0
25,0,1.75,0.98,1,0.0,0.0,0.59,0.0,0.3,0.15,0.0,0.99,0.79,1.24,0.0,0.02,0.0,0.48,1.63,1.31,0.0
26,0,1.82,0.98,1,0.0,0.0,0.56,0.0,0.37,0.22,0.0,1.1,0.87,1.13,0.0,0.02,0.0,0.49,1.77,1.15,0.0
27,0,1.89,0.98,1,0.0,0.0,0.4,0.0,0.47,0.22,0.0,1.28,0.92,0.94,0.0,0.0,0.0,0.52,2.04,1.11,0.0
