, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.0,0.0,0.59,0.0,2.27,1.08,0.0,2.09,2.45,1.68,0.0,0.55,0.18,0.17,0.5,0.53,0.0
1,0,0.042,0.98,1,0.03,0.0,0.74,0.0,2.48,1.22,0.05,2.14,2.51,1.94,0.04,0.31,0.16,0.06,0.54,0.61,0.14
2,0,0.083,0.98,1,0.03,0.0,0.82,0.0,2.59,1.32,0.08,2.2,2.54,2.14,0.07,0.24,0.11,0.0,0.54,0.7,0.22
3,0,0.125,0.98,1,0.04,0.0,0.81,0.0,2.57,1.27,0.06,2.2,2.53,2.31,0.06,0.23,0.06,0.0,0.41,0.68,0.2
4,0,0.16699999999999998,0.98,1,0.04,0.0,0.81,0.0,2.55,1.16,0.06,2.21,2.49,2.41,0.07,0.22,0.03,0.0,0.23,0.6,0.09
5,0,0.209,0.98,1,0.04,0.0,0.79,0.0,2.54,1.0,0.04,2.19,2.51,2.47,0.04,0.11,0.06,0.0,0.15,0.55,0.02
6,0,0.25,0.98,1,0.0,0.0,0.72,0.0,2.56,1.01,0.0,2.19,2.54,2.53,0.07,0.05,0.04,0.0,0.17,0.53,0.0
7,0,0.292,0.98,1,0.0,0.0,0.62,0.0,2.6,1.02,0.0,2.22,2.59,2.49,0.05,0.0,0.04,0.0,0.25,0.56,0.0
8,0,0.33399999999999996,0.98,1,0.0,0.0,0.62,0.0,2.63,1.11,0.0,2.27,2.58,2.51,0.1,0.05,0.0,0.0,0.17,0.5,0.0
9,0,0.375,0.98,1,0.0,0.0,0.72,0.0,2.66,1.04,0.0,2.39,2.61,2.47,0.06,0.07,0.0,0.0,0.1,0.43,0.0
10,0,0.41700000000000004,0.98,1,0.0,0.0,0.79,0.0,2.71,1.18,0.0,2.36,2.65,2.67,0.05,0.07,0.0,0.0,0.03,0.42,0.0
11,0,0.45899999999999996,0.98,1,0.0,0.0,0.83,0.0,2.7,1.06,0.0,2.25,2.67,2.78,0.0,0.01,0.0,0.0,0.03,0.33,0.05
12,0,0.501,0.98,1,0.0,0.0,0.78,0.0,2.76,1.05,0.0,2.14,2.71,2.85,0.0,0.0,0.0,0.0,0.03,0.39,0.05
13,0,0.542,0.98,1,0.0,0.0,0.79,0.0,2.72,0.95,0.0,2.13,2.71,2.69,0.02,0.07,0.0,0.0,0.11,0.26,0.05
14,0,0.584,0.98,1,0.0,0.0,0.78,0.0,2.71,1.02,0.02,2.23,2.67,2.44,0.02,0.12,0.0,0.0,0.28,0.46,0.0
15,0,0.626,0.98,1,0.0,0.0,0.93,0.0,2.48,0.95,0.1,2.29,2.35,2.15,0.02,0.19,0.0,0.0,0.36,0.56,0.01
16,0,0.667,0.98,1,0.0,0.0,1.07,0.0,2.12,0.8,0.17,2.32,1.83,1.96,0.0,0.27,0.01,0.0,0.25,0.67,0.09
