, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.042,0.03,0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,1.67,0.07,0.0
2,0,0.085,0.98,1,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,1.67,0.07,0.0
3,0,0.127,0.03,0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,1.67,0.07,0.0
4,0,0.16899999999999998,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.21100000000000002,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.254,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.29600000000000004,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.33799999999999997,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.38,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.423,0.03,0,0.23,0.0,0.49,0.0,0.0,0.13,0.0,0.62,0.21,0.37,0.3,0.79,0.15,0.31,0.35,0.0,0.0
11,0,0.465,0.98,1,0.66,0.16,1.23,0.0,0.05,0.18,0.0,1.55,0.44,0.86,0.3,1.57,0.15,0.48,0.72,0.34,0.0
12,0,0.507,0.98,1,1.0,0.39,1.7,0.0,0.05,0.18,0.0,2.45,0.73,1.13,0.31,2.23,0.15,0.48,1.47,0.86,0.0
13,0,0.5489999999999999,0.88,1,0.94,0.42,1.57,0.0,0.05,0.24,0.0,2.46,0.64,1.12,0.35,2.18,0.0,0.49,1.27,0.86,0.0
14,0,0.5920000000000001,0.98,1,0.96,0.69,1.54,0.19,0.05,0.34,0.0,2.39,0.67,1.07,0.35,2.04,0.0,0.56,1.32,1.1,0.0
15,0,0.634,0.88,1,0.63,0.46,1.15,0.19,0.09,0.34,0.0,2.03,0.57,0.8,0.84,2.02,0.0,0.8,0.57,0.59,0.0
