, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.36,0.0,1.07,0.0,0.0,0.0,0.0,0.36,0.0,0.02,0.07,0.0,0.0,0.0,1.36,1.63,0.52
1,0,0.07,0.98,1,0.33,0.08,1.23,0.0,0.0,0.07,0.0,0.22,0.0,0.02,0.02,0.0,0.0,0.0,0.99,1.17,0.33
2,0,0.14,0.98,1,0.27,0.08,1.3,0.08,0.0,0.09,0.0,0.15,0.0,0.01,0.09,0.03,0.0,0.0,0.68,0.77,0.16
3,0,0.21,0.98,1,0.26,0.08,1.28,0.08,0.0,0.14,0.0,0.11,0.0,0.0,0.11,0.03,0.0,0.0,0.43,0.53,0.16
4,0,0.28,0.98,1,0.16,0.0,1.18,0.08,0.0,0.2,0.01,0.15,0.0,0.0,0.12,0.03,0.0,0.0,0.32,0.28,0.0
5,0,0.35,0.98,1,0.11,0.0,1.09,0.0,0.0,0.23,0.04,0.18,0.0,0.06,0.05,0.02,0.0,0.0,0.25,0.2,0.0
6,0,0.42,0.98,1,0.26,0.0,1.08,0.0,0.0,0.22,0.04,0.18,0.0,0.06,0.04,0.09,0.0,0.0,0.3,0.15,0.0
7,0,0.49,0.98,1,0.31,0.0,1.05,0.0,0.0,0.13,0.03,0.19,0.0,0.09,0.05,0.12,0.0,0.0,0.4,0.22,0.0
8,0,0.56,0.98,1,0.41,0.04,1.11,0.0,0.0,0.08,0.0,0.13,0.0,0.03,0.02,0.15,0.0,0.0,0.52,0.23,0.04
9,0,0.63,0.98,1,0.32,0.04,1.16,0.0,0.0,0.09,0.02,0.13,0.0,0.04,0.02,0.16,0.0,0.0,0.55,0.28,0.04
10,0,0.7,0.98,1,0.3,0.04,1.15,0.07,0.0,0.08,0.03,0.07,0.0,0.01,0.0,0.2,0.03,0.0,0.43,0.21,0.04
11,0,0.77,0.98,1,0.24,0.0,1.12,0.07,0.0,0.08,0.04,0.05,0.0,0.01,0.0,0.29,0.03,0.0,0.25,0.15,0.0
12,0,0.84,0.98,1,0.23,0.04,1.1,0.07,0.0,0.04,0.05,0.05,0.0,0.0,0.0,0.38,0.03,0.0,0.13,0.04,0.09
13,0,0.91,0.98,1,0.2,0.04,1.17,0.0,0.0,0.06,0.08,0.06,0.0,0.0,0.0,0.36,0.01,0.0,0.12,0.02,0.09
14,0,0.98,0.98,1,0.2,0.05,1.22,0.0,0.0,0.21,0.12,0.11,0.0,0.0,0.0,0.22,0.01,0.0,0.12,0.01,0.11
15,0,1.05,0.98,1,0.21,0.06,1.25,0.0,0.0,0.36,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.11
16,0,1.12,0.98,1,0.41,0.23,1.16,0.0,0.0,0.29,0.1,0.11,0.0,0.0,0.0,0.03,0.09,0.0,0.1,0.0,0.62
17,0,1.19,0.98,1,0.46,0.32,1.29,0.0,0.0,0.14,0.05,0.08,0.0,0.05,0.0,0.04,0.09,0.0,0.08,0.0,0.98
18,0,1.26,0.98,1,0.46,0.27,1.44,0.0,0.0,0.13,0.0,0.05,0.0,0.11,0.0,0.05,0.12,0.0,0.08,0.0,1.27
19,0,1.33,0.98,1,0.28,0.09,1.67,0.0,0.0,0.13,0.0,0.01,0.0,0.14,0.0,0.1,0.03,0.0,0.04,0.0,0.97
20,0,1.4,0.98,1,0.18,0.0,1.65,0.0,0.0,0.13,0.0,0.0,0.0,0.09,0.0,0.1,0.03,0.0,0.04,0.0,0.84
