, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.88,1,0.69,0.61,1.64,0.39,0.0,0.43,0.0,0.0,0.05,0.0,0.47,0.32,0.0,0.0,0.28,1.11,0.0
1,0,0.032,0.88,1,0.87,0.25,1.67,0.13,0.1,0.97,0.0,0.0,0.12,0.0,0.61,0.19,0.0,0.0,0.66,0.37,0.35
2,0,0.065,0.88,1,1.01,0.16,1.72,0.0,0.11,1.12,0.0,0.0,0.15,0.0,0.6,0.09,0.0,0.0,0.94,0.0,0.59
3,0,0.09699999999999999,0.88,1,0.97,0.39,1.66,0.0,0.08,1.25,0.0,0.0,0.1,0.0,1.28,0.0,0.0,0.0,1.22,0.0,0.55
4,0,0.13,0.88,1,0.87,0.42,1.7,0.0,0.02,1.14,0.0,0.0,0.06,0.0,1.39,0.0,0.0,0.0,0.99,0.0,0.56
5,0,0.162,0.98,1,0.65,0.3,1.69,0.0,0.0,1.18,0.0,0.0,0.03,0.0,1.25,0.0,0.0,0.0,0.67,0.27,0.32
6,0,0.195,0.98,1,0.51,0.18,1.73,0.0,0.0,0.93,0.0,0.0,0.06,0.0,0.83,0.0,0.0,0.0,0.19,0.27,0.18
7,0,0.22699999999999998,0.98,1,0.41,0.11,1.66,0.0,0.0,0.73,0.0,0.0,0.1,0.0,0.36,0.05,0.0,0.01,0.1,0.79,0.01
8,0,0.26,0.98,1,0.31,0.18,1.56,0.0,0.0,0.56,0.03,0.0,0.16,0.0,0.36,0.12,0.0,0.06,0.04,1.08,0.0
9,0,0.292,0.98,1,0.26,0.07,1.45,0.0,0.0,0.49,0.08,0.0,0.27,0.0,0.0,0.13,0.0,0.07,0.04,1.75,0.03
10,0,0.325,0.98,1,0.15,0.07,1.32,0.0,0.0,0.43,0.14,0.0,0.36,0.0,0.0,0.09,0.0,0.05,0.1,1.82,0.12
11,0,0.35700000000000004,0.98,1,0.1,0.0,1.21,0.0,0.0,0.38,0.11,0.0,0.42,0.0,0.0,0.01,0.0,0.01,0.18,1.81,0.23
12,0,0.39,0.98,1,0.05,0.0,1.18,0.0,0.0,0.43,0.06,0.0,0.43,0.0,0.0,0.06,0.0,0.0,0.15,1.58,0.22
13,0,0.42200000000000004,0.98,1,0.05,0.0,1.16,0.0,0.0,0.56,0.02,0.0,0.45,0.0,0.0,0.34,0.0,0.15,0.08,1.43,0.13
14,0,0.455,0.98,1,0.1,0.0,1.09,0.0,0.0,0.66,0.03,0.06,0.55,0.0,0.0,0.59,0.07,0.27,0.0,1.19,0.01
15,0,0.48700000000000004,0.98,1,0.05,0.0,0.99,0.0,0.0,0.55,0.03,0.13,0.65,0.0,0.0,0.75,0.11,0.27,0.0,1.01,0.0
16,0,0.519,0.98,1,0.05,0.0,0.94,0.0,0.0,0.51,0.02,0.14,0.71,0.0,0.0,0.7,0.16,0.12,0.0,0.64,0.0
17,0,0.552,0.98,1,0.0,0.0,0.93,0.06,0.02,0.37,0.0,0.12,0.77,0.0,0.01,0.66,0.18,0.0,0.04,0.41,0.0
18,0,0.584,0.98,1,0.0,0.0,0.93,0.1,0.04,0.24,0.0,0.09,0.81,0.0,0.01,0.63,0.23,0.0,0.04,0.25,0.0
19,0,0.617,0.98,1,0.0,0.0,0.92,0.1,0.06,0.17,0.04,0.08,0.82,0.0,0.04,0.67,0.18,0.0,0.1,0.36,0.0
20,0,0.649,0.98,1,0.0,0.0,0.85,0.08,0.04,0.17,0.04,0.05,0.77,0.0,0.03,0.85,0.09,0.0,0.09,0.32,0.0
21,0,0.682,0.98,1,0.0,0.0,0.78,0.04,0.05,0.22,0.04,0.0,0.75,0.0,0.04,1.01,0.04,0.0,0.09,0.22,0.0
22,0,0.7140000000000001,0.98,1,0.0,0.0,0.76,0.04,0.07,0.29,0.0,0.0,0.75,0.0,0.01,1.07,0.04,0.0,0.2,0.11,0.0
23,0,0.747,0.98,1,0.0,0.0,0.84,0.0,0.07,0.34,0.0,0.0,0.75,0.0,0.01,1.02,0.04,0.0,0.32,0.06,0.01
24,0,0.779,0.98,1,0.0,0.0,0.84,0.0,0.08,0.35,0.0,0.0,0.74,0.0,0.15,0.86,0.0,0.0,0.45,0.06,0.01
25,0,0.812,0.98,1,0.0,0.0,0.88,0.0,0.09,0.28,0.0,0.07,0.76,0.0,0.15,0.72,0.0,0.0,0.38,0.0,0.01
26,0,0.8440000000000001,0.98,1,0.06,0.0,0.93,0.0,0.17,0.33,0.0,0.12,0.87,0.0,0.15,0.73,0.01,0.09,0.23,0.08,0.0
27,0,0.877,0.98,1,0.07,0.0,0.97,0.08,0.21,0.31,0.0,0.12,0.93,0.0,0.59,0.75,0.09,0.09,0.1,0.08,0.0
28,0,0.909,0.98,1,0.07,0.0,0.97,0.08,0.23,0.22,0.0,0.05,0.97,0.0,0.71,0.86,0.09,0.18,0.0,0.35,0.0
29,0,0.941,0.98,1,0.02,0.0,0.92,0.13,0.22,0.09,0.09,0.0,0.92,0.0,0.71,0.76,0.11,0.25,0.0,0.79,0.01
