, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.88,1,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.28,0.92,1.28,0.41,0.59,0.04,0.0
1,0,0.011000000000000001,0.93,1,0.11,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.42,0.92,1.52,0.52,0.41,0.36,0.16
2,0,0.023,0.98,1,0.0,0.0,0.31,0.0,0.05,0.72,0.0,0.29,0.36,0.0,0.52,0.76,1.09,0.38,0.24,0.34,0.64
3,0,0.034,0.98,1,0.0,0.0,0.54,0.0,0.14,1.63,0.0,0.48,0.36,0.0,0.71,0.49,0.5,0.23,0.26,0.16,1.15
4,0,0.045,0.98,1,0.0,0.0,0.66,0.0,0.18,2.25,0.0,0.61,0.47,0.12,0.85,0.15,0.0,0.0,0.57,0.0,1.31
5,0,0.055999999999999994,0.93,1,0.0,0.0,0.56,0.03,0.32,1.62,0.0,0.58,0.35,0.33,1.25,0.12,0.0,0.04,0.54,0.0,0.83
6,0,0.068,0.93,1,0.0,0.0,0.5,0.03,0.28,1.22,0.0,0.39,0.24,0.33,1.31,0.32,0.0,0.04,0.42,0.0,0.3
7,0,0.079,0.98,1,0.0,0.0,0.6,0.03,0.24,1.05,0.0,0.35,0.04,0.3,1.59,0.46,0.0,0.22,0.13,0.19,0.0
8,0,0.09,0.93,1,0.0,0.0,0.5,0.0,0.08,1.54,0.19,0.62,0.04,0.13,1.41,0.86,0.0,0.57,0.27,0.5,0.0
9,0,0.102,0.98,1,0.0,0.0,0.25,0.12,0.17,1.27,0.22,1.42,0.02,0.68,1.29,1.26,0.06,1.01,0.2,0.71,0.02
10,0,0.113,0.98,1,0.0,0.0,0.0,0.14,0.34,1.24,0.25,2.09,0.02,1.04,1.51,1.45,0.06,1.27,0.2,0.52,0.02
