, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.54,0.34,0.79,0.0,1.78,1.76,0.0,1.72,1.84,0.59,0.0,1.68,0.0,0.08,0.21,0.01,0.0
1,0,0.1,0.98,1,0.28,0.13,0.5,0.0,1.65,1.3,0.0,1.55,1.79,0.38,0.0,1.63,0.07,0.03,0.21,0.08,0.0
2,0,0.2,0.98,1,0.18,0.02,0.5,0.0,1.29,0.85,0.0,1.33,1.33,0.18,0.24,1.85,0.07,0.0,0.14,0.31,0.0
3,0,0.3,0.98,1,0.19,0.0,0.59,0.0,0.89,0.41,0.0,1.24,0.9,0.05,0.39,1.96,0.0,0.0,0.0,0.56,0.0
4,0,0.4,0.98,1,0.28,0.0,0.94,0.0,0.74,0.66,0.0,1.08,0.52,0.0,0.59,2.16,0.0,0.0,0.0,1.05,0.0
5,0,0.5,0.98,1,0.3,0.06,0.95,0.0,0.77,0.8,0.0,0.93,0.61,0.08,0.4,1.95,0.0,0.0,0.0,0.94,0.1
6,0,0.6,0.98,1,0.23,0.15,0.94,0.0,0.83,1.0,0.0,0.83,0.69,0.16,0.27,1.72,0.0,0.0,0.0,0.76,0.1
7,0,0.7,0.98,1,0.14,0.15,0.58,0.0,1.09,0.58,0.1,0.88,0.92,0.29,0.11,1.08,0.0,0.0,0.0,0.27,0.1
8,0,0.8,0.93,1,0.09,0.09,0.73,0.1,1.18,0.55,0.1,1.02,1.13,0.26,0.06,0.92,0.0,0.0,0.04,0.15,0.0
9,0,0.9,0.98,1,0.05,0.0,0.92,0.23,1.3,0.74,0.1,1.11,1.37,0.19,0.04,0.85,0.0,0.0,0.04,0.0,0.0
10,0,1.0,0.98,1,0.15,0.25,1.24,0.23,1.2,1.08,0.0,1.04,1.43,0.17,0.04,1.35,0.0,0.0,0.17,0.0,0.0
11,0,1.1,0.98,1,0.11,0.25,0.89,0.12,1.19,0.88,0.0,1.09,1.52,0.42,0.04,1.63,0.09,0.0,0.28,0.38,0.0
12,0,1.2,0.98,1,0.1,0.25,0.49,0.0,1.18,0.53,0.0,1.07,1.57,0.74,0.04,1.83,0.14,0.0,0.4,0.73,0.1
13,0,1.3,0.98,1,0.05,0.0,0.3,0.0,0.93,0.3,0.0,0.87,1.38,0.63,0.0,2.13,0.14,0.25,0.27,0.8,0.1
