, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.92,0.3,0.0,0.22,1.2,0.92,0.25,0.17,1.43,0.24,0.05,0.85,0.0,0.0,0.0,0.02,0.0
1,0,0.067,0.98,1,0.6,0.1,0.0,0.07,1.46,0.78,0.08,0.17,1.84,0.29,0.02,0.8,0.08,0.0,0.07,0.09,0.0
2,0,0.133,0.98,1,0.32,0.0,0.0,0.0,1.6,0.54,0.0,0.22,2.18,0.36,0.0,0.61,0.08,0.0,0.12,0.16,0.0
3,0,0.2,0.98,1,0.13,0.0,0.0,0.0,1.65,0.35,0.04,0.36,2.35,0.38,0.01,0.38,0.01,0.0,0.19,0.07,0.0
4,0,0.267,0.98,1,0.04,0.0,0.0,0.04,1.61,0.41,0.04,0.39,2.44,0.43,0.08,0.18,0.13,0.0,0.22,0.07,0.0
5,0,0.33299999999999996,0.98,1,0.02,0.0,0.0,0.04,1.65,0.49,0.05,0.43,2.43,0.43,0.12,0.13,0.19,0.0,0.23,0.0,0.0
6,0,0.4,0.98,1,0.07,0.04,0.0,0.08,1.67,0.55,0.06,0.51,2.44,0.47,0.11,0.07,0.18,0.0,0.19,0.0,0.02
7,0,0.467,0.98,1,0.06,0.18,0.0,0.04,1.74,0.5,0.07,0.63,2.44,0.53,0.04,0.05,0.06,0.0,0.22,0.0,0.02
8,0,0.5329999999999999,0.98,1,0.07,0.18,0.0,0.04,1.75,0.57,0.06,0.77,2.49,0.72,0.0,0.05,0.0,0.02,0.16,0.07,0.02
9,0,0.6,0.98,1,0.02,0.15,0.0,0.0,1.75,0.56,0.01,0.78,2.5,0.95,0.03,0.09,0.0,0.05,0.11,0.14,0.01
10,0,0.667,0.98,1,0.02,0.0,0.0,0.0,1.75,0.57,0.0,0.77,2.52,1.11,0.05,0.17,0.0,0.05,0.05,0.22,0.04
11,0,0.733,0.98,1,0.0,0.0,0.0,0.0,1.77,0.56,0.0,0.7,2.49,1.11,0.05,0.2,0.0,0.04,0.03,0.26,0.04
12,0,0.8,0.98,1,0.0,0.0,0.0,0.0,1.8,0.6,0.0,0.66,2.53,1.07,0.02,0.19,0.0,0.02,0.04,0.36,0.08
13,0,0.867,0.98,1,0.0,0.0,0.0,0.0,1.81,0.73,0.0,0.62,2.54,1.05,0.01,0.11,0.0,0.03,0.01,0.35,0.12
14,0,0.9329999999999999,0.98,1,0.0,0.0,0.0,0.0,1.83,0.91,0.0,0.59,2.61,1.02,0.01,0.04,0.03,0.02,0.01,0.28,0.16
15,0,1.0,0.98,1,0.0,0.0,0.0,0.0,1.8,0.97,0.0,0.53,2.62,0.96,0.0,0.0,0.03,0.01,0.0,0.11,0.11
16,0,1.067,0.98,1,0.0,0.0,0.0,0.0,1.75,0.98,0.0,0.43,2.65,0.92,0.0,0.03,0.03,0.0,0.0,0.12,0.06
17,0,1.133,0.98,1,0.0,0.0,0.0,0.0,1.72,0.98,0.0,0.43,2.63,0.92,0.0,0.06,0.04,0.0,0.0,0.15,0.01
18,0,1.2,0.98,1,0.0,0.0,0.0,0.0,1.8,1.14,0.0,0.57,2.61,0.98,0.0,0.08,0.13,0.0,0.0,0.23,0.0
