, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.0,0.0,0.47,0.0,0.0,0.88,0.0,0.33,0.09,1.33,0.16,1.89,0.32,0.34,0.54,1.93,0.0
1,0,0.022000000000000002,0.98,1,0.0,0.0,0.38,0.0,0.0,0.31,0.0,0.11,0.05,1.06,0.23,1.7,0.51,0.19,0.4,1.43,0.0
2,0,0.044000000000000004,0.98,1,0.07,0.0,0.22,0.0,0.0,0.01,0.0,0.0,0.09,0.8,0.32,1.59,0.48,0.08,0.22,1.07,0.43
3,0,0.067,0.98,1,0.21,0.01,0.09,0.0,0.0,0.0,0.0,0.05,0.14,0.53,0.35,1.54,0.38,0.03,0.29,0.98,1.11
4,0,0.08900000000000001,0.93,1,0.21,0.01,0.16,0.0,0.0,0.28,0.0,0.05,0.14,0.31,0.4,1.49,0.28,0.0,0.32,0.97,1.18
5,0,0.111,0.98,1,0.13,0.01,0.29,0.0,0.0,0.77,0.0,0.05,0.16,0.48,0.26,1.42,0.56,0.09,0.36,1.04,0.83
6,0,0.133,0.98,1,0.0,0.0,0.43,0.0,0.0,1.34,0.0,0.1,0.2,0.55,0.23,1.33,0.72,0.09,0.49,0.89,0.25
7,0,0.156,0.98,1,0.0,0.0,0.28,0.0,0.0,1.14,0.0,0.1,0.2,0.53,0.3,1.27,0.73,0.09,0.49,0.77,0.17
8,0,0.17800000000000002,0.98,1,0.0,0.0,0.15,0.0,0.0,0.8,0.0,0.1,0.12,0.18,0.48,1.2,0.5,0.0,0.44,0.46,0.1
9,0,0.2,0.98,1,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.01,0.0,0.38,1.3,0.24,0.12,0.02,0.32,0.01
10,0,0.222,0.98,1,0.0,0.0,0.02,0.0,0.0,0.42,0.0,0.0,0.04,0.0,0.3,1.3,0.18,0.12,0.34,0.65,0.5
11,0,0.245,0.98,1,0.0,0.0,0.02,0.0,0.0,0.37,0.0,0.1,0.17,0.24,0.32,1.4,0.06,0.12,0.66,0.85,0.7
