, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.25,0.0,0.15,1.32,0.0,0.0,0.09,0.68,0.0
1,0,0.027000000000000003,0.98,1,0.01,0.0,0.0,0.0,0.22,0.0,0.0,1.18,0.5,0.0,0.08,1.14,0.0,0.0,0.32,0.91,0.0
2,0,0.054000000000000006,0.98,1,0.0,0.0,0.0,0.0,0.46,0.03,0.0,1.29,0.91,0.17,0.03,0.92,0.0,0.02,0.29,0.95,0.0
3,0,0.081,0.98,1,0.0,0.0,0.0,0.0,0.67,0.11,0.0,1.2,1.28,0.39,0.0,0.85,0.0,0.02,0.15,1.04,0.0
4,0,0.10800000000000001,0.98,1,0.0,0.0,0.0,0.11,0.81,0.23,0.0,1.3,1.49,0.82,0.0,0.89,0.09,0.02,0.81,1.51,0.0
5,0,0.136,0.98,1,0.0,0.0,0.0,0.31,0.84,0.29,0.0,1.34,1.5,1.01,0.0,1.03,0.24,0.0,1.47,2.03,0.0
6,0,0.163,0.98,1,0.19,0.18,0.0,0.36,0.56,0.21,0.0,1.25,1.21,0.79,0.07,1.16,0.24,0.0,1.36,2.07,0.3
7,0,0.19,0.93,1,0.2,0.18,0.0,0.25,0.31,0.12,0.0,1.12,0.85,0.36,0.14,1.27,0.14,0.0,0.69,1.72,0.3
8,0,0.217,0.98,1,0.2,0.19,0.0,0.05,0.17,0.04,0.0,1.04,0.61,0.0,0.23,1.2,0.09,0.0,0.21,1.21,0.3
9,0,0.244,0.98,1,0.03,0.05,0.0,0.0,0.42,0.07,0.0,1.26,0.88,0.15,0.17,0.9,0.09,0.0,0.74,1.31,0.0
10,0,0.271,0.98,1,0.19,0.07,0.0,0.0,0.61,0.03,0.0,1.42,1.21,0.34,0.15,0.61,0.17,0.0,1.57,1.63,0.0
11,0,0.298,0.98,1,0.61,0.2,0.0,0.0,0.48,0.03,0.0,1.31,1.15,0.34,0.07,0.34,0.07,0.0,1.74,1.4,0.0
12,0,0.325,0.98,1,1.01,0.16,0.0,0.0,0.23,0.0,0.0,0.83,0.7,0.18,0.3,0.3,0.07,0.0,1.21,0.79,0.0
13,0,0.35200000000000004,0.93,1,1.31,0.14,0.0,0.0,0.0,0.0,0.0,0.29,0.23,0.0,0.36,0.37,0.04,0.0,0.35,0.05,0.0
14,0,0.38,0.93,1,1.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.34,0.67,0.04,0.0,0.0,0.24,0.0
15,0,0.40700000000000003,0.98,1,1.59,0.3,0.0,0.0,0.0,0.0,0.0,0.28,0.33,0.0,0.1,0.85,0.04,0.0,0.13,0.66,0.0
16,0,0.434,0.98,1,1.31,0.41,0.0,0.0,0.08,0.0,0.0,0.54,0.67,0.0,0.0,0.87,0.11,0.0,0.55,1.12,0.0
17,0,0.461,0.98,1,0.72,0.31,0.0,0.0,0.16,0.0,0.0,0.82,1.0,0.0,0.0,0.63,0.11,0.0,0.94,1.39,0.05
18,0,0.488,0.98,1,0.35,0.11,0.0,0.0,0.24,0.01,0.0,0.66,1.11,0.0,0.0,0.56,0.11,0.13,0.81,0.97,0.05
19,0,0.515,0.98,1,0.22,0.0,0.0,0.0,0.22,0.01,0.0,0.5,1.18,0.0,0.0,0.58,0.0,0.28,0.38,0.52,0.05
20,0,0.542,0.98,1,0.17,0.0,0.0,0.0,0.26,0.01,0.0,0.36,1.29,0.0,0.0,0.56,0.05,0.3,0.0,0.01,0.0
21,0,0.569,0.98,1,0.07,0.0,0.0,0.0,0.31,0.0,0.0,0.37,1.37,0.0,0.0,0.36,0.06,0.17,0.07,0.15,0.0
22,0,0.596,0.98,1,0.06,0.0,0.0,0.0,0.28,0.02,0.0,0.39,1.38,0.0,0.0,0.24,0.06,0.12,0.07,0.15,0.0
23,0,0.624,0.98,1,0.03,0.0,0.0,0.0,0.25,0.03,0.0,0.37,1.37,0.0,0.0,0.36,0.01,0.32,0.07,0.14,0.0
24,0,0.6509999999999999,0.98,1,0.03,0.0,0.0,0.0,0.23,0.03,0.0,0.37,1.37,0.0,0.0,0.54,0.05,0.59,0.0,0.0,0.0
25,0,0.6779999999999999,0.98,1,0.06,0.0,0.0,0.0,0.31,0.02,0.0,0.38,1.46,0.0,0.0,0.48,0.18,0.76,0.0,0.0,0.0
26,0,0.705,0.98,1,0.06,0.0,0.0,0.0,0.43,0.0,0.0,0.5,1.62,0.0,0.0,0.3,0.31,0.75,0.0,0.0,0.0
27,0,0.732,0.98,1,0.06,0.0,0.0,0.0,0.64,0.05,0.0,0.84,1.9,0.04,0.0,0.08,0.34,0.61,0.0,0.0,0.0
28,0,0.759,0.98,1,0.0,0.0,0.0,0.0,0.84,0.05,0.0,1.12,2.2,0.16,0.0,0.0,0.24,0.46,0.0,0.0,0.0
29,0,0.7859999999999999,0.98,1,0.0,0.0,0.0,0.0,0.93,0.08,0.0,1.29,2.4,0.32,0.0,0.0,0.12,0.37,0.0,0.0,0.0
30,0,0.813,0.98,1,0.0,0.0,0.0,0.0,0.95,0.2,0.0,1.28,2.45,0.31,0.0,0.0,0.05,0.29,0.06,0.0,0.0
31,0,0.84,0.98,1,0.0,0.0,0.0,0.0,1.03,0.34,0.0,1.38,2.49,0.33,0.0,0.0,0.01,0.19,0.24,0.0,0.13
32,0,0.868,0.98,1,0.09,0.0,0.0,0.0,1.12,0.35,0.0,1.53,2.57,0.28,0.0,0.0,0.04,0.07,0.45,0.0,0.61
33,0,0.895,0.98,1,0.18,0.0,0.0,0.0,1.18,0.18,0.0,1.66,2.68,0.44,0.0,0.0,0.06,0.01,0.65,0.0,1.15
34,0,0.922,0.98,1,0.26,0.0,0.0,0.0,1.18,0.03,0.0,1.72,2.73,0.51,0.0,0.0,0.07,0.0,0.78,0.0,1.51
35,0,0.9490000000000001,0.98,1,0.17,0.0,0.0,0.0,1.22,0.13,0.03,1.78,2.72,0.56,0.0,0.0,0.02,0.0,0.93,0.0,1.6
36,0,0.976,0.98,1,0.08,0.0,0.0,0.0,1.37,0.56,0.09,1.81,2.63,0.42,0.0,0.0,0.0,0.0,1.12,0.0,1.61
37,0,1.003,0.98,1,0.0,0.0,0.0,0.0,1.52,0.96,0.09,1.87,2.61,0.4,0.0,0.0,0.0,0.04,1.29,0.04,1.51
38,0,1.03,0.98,1,0.0,0.0,0.0,0.0,1.65,1.33,0.05,1.94,2.62,0.45,0.0,0.0,0.0,0.1,1.31,0.04,1.24
39,0,1.057,0.98,1,0.0,0.0,0.0,0.0,1.67,1.36,0.0,2.04,2.7,0.63,0.0,0.0,0.0,0.15,1.27,0.04,0.96
40,0,1.084,0.98,1,0.0,0.0,0.0,0.0,1.68,1.43,0.0,2.13,2.72,0.65,0.0,0.01,0.0,0.21,1.19,0.06,0.79
41,0,1.112,0.98,1,0.0,0.0,0.0,0.0,1.65,1.43,0.0,2.15,2.71,0.68,0.0,0.01,0.0,0.27,1.24,0.18,0.74
42,0,1.139,0.98,1,0.0,0.0,0.0,0.0,1.65,1.44,0.0,2.14,2.71,0.68,0.0,0.01,0.0,0.37,1.14,0.39,0.63
43,0,1.166,0.98,1,0.0,0.0,0.0,0.0,1.64,1.48,0.01,2.09,2.74,0.69,0.0,0.0,0.0,0.42,1.06,0.53,0.52
44,0,1.193,0.98,1,0.0,0.0,0.0,0.0,1.65,1.51,0.01,2.08,2.79,0.67,0.0,0.0,0.0,0.48,0.95,0.54,0.36
45,0,1.22,0.98,1,0.0,0.0,0.0,0.0,1.66,1.42,0.01,2.06,2.81,0.67,0.0,0.0,0.0,0.54,0.9,0.34,0.38
46,0,1.247,0.98,1,0.0,0.0,0.0,0.0,1.66,1.16,0.0,1.97,2.81,0.72,0.0,0.0,0.0,0.62,0.72,0.14,0.39
47,0,1.274,0.98,1,0.0,0.0,0.0,0.0,1.67,1.0,0.0,1.81,2.83,0.71,0.0,0.0,0.0,0.74,0.4,0.0,0.41
48,0,1.301,0.98,1,0.0,0.0,0.0,0.0,1.65,0.86,0.0,1.72,2.83,0.69,0.0,0.0,0.0,0.82,0.21,0.0,0.28
49,0,1.328,0.98,1,0.0,0.0,0.0,0.0,1.66,0.83,0.0,1.67,2.85,0.72,0.0,0.0,0.0,0.86,0.09,0.0,0.26
50,0,1.3559999999999999,0.98,1,0.0,0.0,0.0,0.0,1.66,0.8,0.0,1.73,2.83,0.74,0.0,0.0,0.0,0.82,0.15,0.0,0.15
51,0,1.383,0.98,1,0.0,0.0,0.0,0.0,1.66,0.86,0.0,1.79,2.8,0.82,0.0,0.0,0.0,0.71,0.27,0.0,0.09
52,0,1.41,0.98,1,0.0,0.0,0.0,0.0,1.61,0.93,0.0,1.86,2.75,0.75,0.0,0.0,0.0,0.58,0.44,0.0,0.0
53,0,1.4369999999999998,0.98,1,0.0,0.0,0.0,0.0,1.48,1.01,0.02,1.87,2.57,0.58,0.0,0.0,0.0,0.45,0.55,0.15,0.0
54,0,1.464,0.98,1,0.0,0.0,0.0,0.0,1.35,1.07,0.02,1.84,2.4,0.36,0.0,0.0,0.0,0.42,0.54,0.26,0.0
55,0,1.4909999999999999,0.98,1,0.0,0.0,0.0,0.0,1.0,1.04,0.04,1.61,2.02,0.26,0.01,0.07,0.0,0.51,0.33,0.29,0.0
56,0,1.518,0.98,1,0.0,0.0,0.0,0.0,0.65,0.72,0.02,1.36,1.64,0.27,0.1,0.34,0.0,0.68,0.16,0.22,0.0
57,0,1.545,0.98,1,0.0,0.0,0.0,0.0,0.23,0.55,0.04,1.14,1.15,0.32,0.18,0.66,0.06,0.6,0.0,0.36,0.0
58,0,1.5719999999999998,0.98,1,0.0,0.0,0.0,0.0,0.07,0.4,0.02,1.31,0.8,0.27,0.17,0.89,0.16,0.36,0.0,0.48,0.0
59,0,1.6,0.98,1,0.0,0.0,0.0,0.09,0.0,0.48,0.02,1.49,0.58,0.26,0.08,0.93,0.29,0.07,0.0,0.52,0.0
60,0,1.6269999999999998,0.98,1,0.0,0.0,0.0,0.13,0.01,0.38,0.01,1.66,0.5,0.18,0.0,0.99,0.33,0.0,0.0,0.45,0.0
61,0,1.6540000000000001,0.98,1,0.11,0.0,0.0,0.21,0.01,0.31,0.0,1.48,0.42,0.25,0.0,1.11,0.23,0.0,0.0,0.89,0.0
62,0,1.681,0.98,1,0.22,0.0,0.0,0.27,0.01,0.25,0.0,1.13,0.27,0.25,0.09,1.34,0.13,0.16,0.0,1.57,0.0
63,0,1.7080000000000002,0.98,1,0.41,0.07,0.0,0.22,0.0,0.34,0.0,0.7,0.1,0.26,0.33,1.54,0.04,0.41,0.0,2.47,0.0
