, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.53,0.0,0.91,0.0,0.0,0.0,0.17,1.1,0.0,0.0,0.35,0.22,0.0,0.0,1.39,0.91,0.0
1,0,0.032,0.98,1,0.65,0.0,1.04,0.0,0.0,0.0,0.21,1.04,0.0,0.0,0.16,0.31,0.0,0.08,1.5,1.1,0.0
2,0,0.064,0.98,1,0.81,0.0,1.1,0.0,0.0,0.0,0.22,1.03,0.0,0.0,0.07,0.39,0.0,0.13,1.59,1.23,0.0
3,0,0.095,0.98,1,0.89,0.0,1.12,0.0,0.0,0.0,0.23,1.05,0.0,0.0,0.04,0.45,0.0,0.13,1.6,1.24,0.0
4,0,0.127,0.98,1,0.95,0.0,1.14,0.0,0.0,0.0,0.17,1.09,0.0,0.0,0.1,0.47,0.0,0.1,1.55,1.14,0.0
5,0,0.159,0.98,1,0.93,0.0,1.17,0.0,0.0,0.0,0.16,1.06,0.0,0.0,0.08,0.37,0.0,0.08,1.5,1.07,0.0
6,0,0.191,0.98,1,0.88,0.0,1.13,0.0,0.0,0.0,0.15,1.0,0.0,0.0,0.07,0.31,0.0,0.08,1.48,1.02,0.0
7,0,0.223,0.98,1,0.83,0.0,1.06,0.0,0.0,0.0,0.16,1.0,0.0,0.0,0.0,0.23,0.0,0.1,1.48,1.0,0.0
8,0,0.255,0.98,1,0.79,0.0,1.03,0.0,0.0,0.0,0.18,1.01,0.0,0.0,0.0,0.22,0.0,0.11,1.47,1.02,0.0
9,0,0.28600000000000003,0.98,1,0.76,0.0,1.04,0.0,0.0,0.0,0.18,1.05,0.0,0.0,0.0,0.19,0.0,0.1,1.45,1.03,0.0
10,0,0.318,0.98,1,0.79,0.0,0.98,0.0,0.0,0.0,0.24,1.05,0.0,0.0,0.0,0.12,0.0,0.06,1.41,1.02,0.0
11,0,0.35,0.98,1,0.89,0.0,0.85,0.0,0.0,0.0,0.18,1.09,0.0,0.0,0.0,0.05,0.0,0.02,1.37,0.82,0.0
12,0,0.382,0.98,1,0.95,0.0,0.76,0.0,0.0,0.0,0.22,1.05,0.0,0.0,0.0,0.01,0.0,0.0,1.25,0.72,0.0
13,0,0.414,0.98,1,1.0,0.0,0.74,0.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.05,0.0,0.0,1.18,0.65,0.0
14,0,0.445,0.98,1,0.94,0.0,0.81,0.0,0.0,0.0,0.22,0.98,0.0,0.0,0.0,0.12,0.0,0.0,1.18,0.72,0.0
15,0,0.47700000000000004,0.98,1,0.86,0.0,0.89,0.0,0.0,0.0,0.13,0.97,0.0,0.0,0.0,0.2,0.0,0.0,1.22,0.67,0.0
16,0,0.509,0.98,1,0.76,0.0,1.01,0.0,0.0,0.0,0.08,0.93,0.0,0.0,0.0,0.25,0.0,0.01,1.27,0.7,0.0
17,0,0.541,0.98,1,0.69,0.0,1.04,0.0,0.0,0.0,0.06,0.87,0.0,0.0,0.0,0.28,0.0,0.03,1.26,0.77,0.0
18,0,0.573,0.98,1,0.72,0.0,1.04,0.0,0.0,0.0,0.07,0.83,0.0,0.0,0.0,0.28,0.0,0.05,1.29,0.9,0.0
19,0,0.604,0.98,1,0.76,0.0,1.02,0.0,0.0,0.0,0.13,0.84,0.0,0.0,0.0,0.23,0.0,0.09,1.27,0.8,0.0
20,0,0.636,0.98,1,0.82,0.0,1.07,0.0,0.0,0.0,0.22,0.83,0.0,0.0,0.05,0.24,0.0,0.14,1.23,0.76,0.0
