, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.051,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.076,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.10099999999999999,0.0,0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.16,0.68,0.0,0.49,0.0,0.26,0.0,0.01,0.0
5,0,0.126,0.98,1,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.22,0.32,1.38,0.02,0.94,0.03,0.49,0.0,0.06,0.0
6,0,0.152,0.98,1,0.0,0.0,0.61,0.0,0.0,0.0,0.07,0.36,0.5,2.11,0.02,1.4,0.03,0.69,0.0,0.06,0.0
7,0,0.177,0.98,1,0.0,0.0,0.78,0.0,0.0,0.0,0.07,0.36,0.54,2.13,0.07,1.37,0.07,0.6,0.0,0.06,0.0
8,0,0.20199999999999999,0.98,1,0.0,0.0,0.86,0.0,0.0,0.0,0.1,0.45,0.61,2.17,0.05,1.37,0.04,0.6,0.0,0.0,0.0
9,0,0.228,0.98,1,0.0,0.0,0.87,0.0,0.0,0.0,0.08,0.46,0.6,2.16,0.11,1.36,0.04,0.6,0.0,0.0,0.0
10,0,0.253,0.98,1,0.0,0.0,0.89,0.0,0.0,0.0,0.1,0.54,0.6,2.21,0.07,1.36,0.0,0.63,0.0,0.0,0.0
11,0,0.278,0.98,1,0.0,0.0,0.92,0.0,0.0,0.0,0.1,0.53,0.57,2.21,0.11,1.35,0.0,0.61,0.0,0.0,0.0
12,0,0.303,0.98,1,0.0,0.0,0.9,0.0,0.0,0.0,0.05,0.54,0.57,2.21,0.07,1.35,0.01,0.63,0.0,0.01,0.0
13,0,0.32899999999999996,0.98,1,0.0,0.0,0.91,0.0,0.0,0.0,0.03,0.5,0.59,2.14,0.06,1.3,0.01,0.63,0.0,0.01,0.0
14,0,0.354,0.98,1,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.46,0.57,2.1,0.03,1.29,0.01,0.63,0.0,0.01,0.0
15,0,0.379,0.98,1,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.41,0.56,2.07,0.05,1.3,0.08,0.59,0.0,0.02,0.0
16,0,0.405,0.98,1,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.41,0.59,2.12,0.11,1.27,0.08,0.46,0.0,0.02,0.27
17,0,0.43,0.93,1,0.29,0.03,0.75,0.0,0.0,0.0,0.0,0.57,0.72,2.05,0.24,1.15,0.07,0.25,0.0,0.13,0.71
18,0,0.455,0.93,1,0.7,0.03,0.8,0.0,0.0,0.0,0.0,0.61,0.56,1.47,0.3,0.81,0.0,0.08,0.28,0.63,0.97
19,0,0.48100000000000004,0.93,1,1.11,0.15,0.88,0.0,0.0,0.0,0.0,0.58,0.34,0.87,0.42,0.47,0.0,0.0,0.75,1.27,0.99
20,0,0.506,0.88,1,1.47,0.43,0.94,0.0,0.0,0.0,0.0,0.41,0.07,0.26,0.41,0.19,0.0,0.0,1.07,1.91,0.7
21,0,0.531,0.93,1,1.85,0.98,0.8,0.0,0.0,0.0,0.0,0.45,0.19,0.15,0.39,0.08,0.0,0.0,1.22,2.11,0.67
22,0,0.556,0.93,1,2.15,1.42,0.6,0.0,0.0,0.0,0.0,0.54,0.28,0.0,0.39,0.03,0.0,0.0,1.1,2.15,0.7
