, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.93,1,1.51,0.77,0.0,0.0,1.11,0.0,0.0,1.57,0.86,0.83,0.0,0.83,1.25,0.0,2.54,2.17,1.29
1,0,0.07,0.93,1,1.62,1.11,0.26,0.0,1.12,0.0,0.0,1.37,1.1,1.14,0.0,0.64,0.82,0.0,2.58,2.4,1.05
2,0,0.14,0.93,1,1.8,1.3,0.6,0.0,1.17,0.14,0.0,1.25,1.21,0.93,0.0,0.44,0.57,0.0,2.56,2.13,0.96
3,0,0.21,0.93,1,1.51,0.86,0.6,0.0,1.13,0.44,0.0,1.19,1.22,0.52,0.0,0.33,0.78,0.0,2.51,1.82,1.09
4,0,0.28,0.93,1,1.1,0.51,0.8,0.0,1.23,0.61,0.0,1.17,1.17,0.37,0.0,0.24,0.61,0.0,2.45,1.59,1.05
5,0,0.35,0.93,1,0.46,0.12,0.98,0.0,1.22,0.82,0.03,1.18,1.13,0.41,0.0,0.31,0.61,0.0,2.47,1.67,1.16
6,0,0.42,0.93,1,0.17,0.06,1.15,0.0,1.3,0.73,0.07,1.44,1.03,0.51,0.0,0.34,0.49,0.0,2.35,1.59,1.34
7,0,0.49,0.93,1,0.04,0.06,1.11,0.0,1.32,0.83,0.21,1.66,1.02,0.45,0.02,0.23,0.4,0.0,2.36,1.65,1.27
8,0,0.56,0.93,1,0.0,0.0,0.92,0.0,1.35,0.65,0.18,1.95,1.05,0.52,0.03,0.32,0.42,0.0,2.42,1.73,1.15
9,0,0.63,0.98,1,0.0,0.0,1.02,0.0,1.31,0.53,0.28,2.08,1.06,0.52,0.08,0.23,0.38,0.0,2.47,1.75,0.87
10,0,0.7,0.93,1,0.0,0.0,1.18,0.0,1.25,0.26,0.15,2.13,0.95,0.55,0.06,0.41,0.29,0.0,2.35,1.82,0.65
11,0,0.77,0.98,1,0.0,0.0,1.48,0.1,1.14,0.21,0.15,2.2,0.86,0.76,0.14,0.32,0.13,0.0,2.16,2.1,0.31
12,0,0.84,0.98,1,0.0,0.0,1.42,0.31,1.08,0.12,0.01,2.2,0.82,1.1,0.16,0.54,0.02,0.01,2.16,2.52,0.09
13,0,0.91,0.98,1,0.0,0.0,1.47,0.98,1.01,0.19,0.0,2.08,0.88,1.39,0.24,0.48,0.02,0.21,2.26,2.56,0.0
14,0,0.98,0.98,1,0.0,0.0,1.22,1.52,0.97,0.07,0.0,1.82,0.86,1.33,0.23,0.45,0.0,0.45,2.29,2.51,0.0
15,0,1.05,0.98,1,0.01,0.0,1.18,1.79,0.89,0.07,0.0,1.66,0.79,1.16,0.17,0.39,0.08,0.62,2.1,2.38,0.0
16,0,1.12,0.98,1,0.12,0.0,1.18,1.48,0.82,0.0,0.0,1.73,0.73,0.98,0.28,0.5,0.08,0.52,1.67,2.56,0.0
17,0,1.19,0.98,1,0.13,0.0,1.12,0.84,0.64,0.0,0.0,1.65,0.68,1.04,0.37,0.65,0.08,0.45,1.1,2.43,0.0
18,0,1.26,0.98,1,0.13,0.0,1.25,0.36,0.39,0.0,0.0,1.65,0.62,0.93,0.7,0.76,0.0,0.45,0.56,2.36,0.0
19,0,1.33,0.98,1,0.14,0.0,1.3,0.0,0.25,0.0,0.0,1.38,0.58,0.64,0.85,0.73,0.0,0.54,0.23,1.88,0.0
20,0,1.4,0.98,1,0.19,0.26,1.45,0.0,0.49,0.0,0.0,1.51,0.57,0.5,0.68,0.85,0.0,0.54,0.18,1.85,0.0
